Sector,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206
1,13288.613000,10081.624000,0.000000,0.000000,0.000000,281.536000,0.000000,7.519000,18.588000,11.244000,23.828000,0.000000,0.000000,0.000000,2347.416000,10972.206000,42870.459000,1797.166000,9342.249000,189.852000,0.516000,0.000000,2814.594000,16539.091000,5216.178000,1117.748000,1678.229000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7470.993000,0.000000,0.000000,40.495000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,391.734000,1015.760000,1006.104000,1365.024000,275.091000,576.837000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,116.034000,0.000000,0.000000,0.000000,0.518000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.040000,0.623000,0.000000,0.000000,8.584000,0.000000,0.000000,0.000000,0.000000,2.058000,15.348000,10.803000,0.000000,1.030000,19.622000,102.308000,48.708000,0.000000,3.046000,2.688000,0.000000,0.000000,2.987000,0.000000,0.000000,2072.503000,1.890000,0.000000,20.755000,65.400000,0.528000,0.515000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.258000,0.259000,0.513000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.289000,46.201000,28.022000,22.619000,654.719000,0.586000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.781000,0.000000,10.693000,0.000000,0.000000,0.268000,0.261000,0.000000,0.000000,0.000000,0.000000,0.000000,1.096000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3150.765000,0.545000,0.000000,0.000000,0.000000,0.000000,68777.235000
2,426.374000,31898.342000,3.959000,0.000000,0.000000,408.246000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,101.768000,202.014000,35269.678000,103759.557000,663.067000,637.513000,1767.688000,0.000000,0.000000,667.456000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.978000,460.701000,0.000000,133.327000,39.319000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,49.316000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,676.030000,0.000000,0.000000,25.689000,0.000000,0.000000,0.000000,0.000000,0.000000,15.484000,0.000000,0.000000,0.000000,3.112000,45.067000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.256000,0.256000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,63.542000,73.252000,454.468000,23.661000,1613.061000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.127000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.524000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,484.104000,0.000000,0.000000,0.000000,0.000000,0.000000,7425.375000
3,0.000000,0.000000,83.249000,3090.847000,0.000000,10.189000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,87.851000,0.000000,0.000000,0.000000,0.000000,0.000000,315.780000,94.151000,0.000000,0.000000,66.931000,3277.142000,260.411000,488.552000,0.000000,0.000000,46.720000,19.908000,295.853000,7.197000,148.521000,0.000000,56.883000,0.000000,3.005000,0.000000,1735.157000,0.000000,0.000000,0.000000,2.104000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.529000,0.000000,0.000000,0.514000,0.000000,0.000000,0.000000,0.000000,37.402000,0.000000,0.000000,0.000000,195.098000,0.000000,0.000000,0.000000,0.000000,2.079000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.438000,0.000000,0.000000,0.563000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.081000,0.000000,0.000000,0.767000,3.691000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,126.628000,0.000000,0.000000,0.000000,0.000000,0.000000,-4098.248000
4,0.000000,0.000000,0.000000,938.273000,0.000000,0.000000,0.000000,60.101000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5874.036000,2568.895000,734.880000,5632.775000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,53.633000,0.000000,0.000000,0.000000,0.000000,0.000000,1878.892000
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,371.902000,0.000000,0.000000,839.493000,0.000000,895.189000,4941.902000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.434000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,728.732000,0.000000,0.000000,0.000000,0.000000,0.477000,0.000000,0.000000,0.000000,6.033000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.630000,0.000000,0.000000,0.395000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,54.987000,16.267000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.504000,0.504000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.026000,27.368000,166.445000,442.117000,3497.441000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,80.699000,0.000000,100.239000,0.000000,0.000000,0.000000,14.532000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,437.941000,0.000000,0.000000,0.000000,0.000000,0.000000,-2787.172000
6,20734.129000,3498.399000,3127.731000,559.896000,31.851000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,228.751000,0.000000,0.000000,11.881000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,148.936000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3786.681000,0.000000,0.000000,0.000000,0.000000,0.000000,483.112000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25419.268000,0.023000,0.083000,0.981000,0.534000,10596.056000,14568.634000,16.439000,0.000000,0.068000,0.026000,0.123000,0.000000,0.069000,0.035000,0.013000,0.060000,0.064000,0.032000,0.047000,0.528000,0.000000,0.223000,0.185000,0.130000,0.432000,0.104000,0.531000,297415.685000,4585.352000,32.010000,5.634000,6.385000,1.567000,3.746000,51.857000,0.350000,0.182000,0.000000,0.226000,0.086000,0.227000,0.451000,0.000000,29.065000,0.000000,0.550000,0.043000,0.000000,0.109000,0.108000,0.000000,0.000000,0.100000,0.072000,0.103000,0.028000,0.081000,0.082000,0.099000,0.080000,0.084000,0.083000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.542000,0.520000,0.000000,0.000000,0.269000,0.134000,0.137000,0.000000,0.264000,0.267000,0.000000,0.268000,0.263000,2.128000,0.531000,0.531000,0.531000,1.063000,0.000000,0.000000,0.000000,0.000000,0.528000,12.697000,0.000000,0.000000,0.532000,0.092000,0.441000,0.532000,0.047000,0.002000,0.208000,0.138000,0.136000,0.254000,0.276000,0.000000,0.641000,0.267000,0.269000,0.522000,0.136000,0.133000,0.135000,0.131000,0.530000,0.048000,0.819000,0.048000,0.531000,0.021000,0.083000,0.044000,0.006000,2.117000,0.051000,0.082000,0.063000,0.123000,0.021000,0.063000,0.064000,0.063000,0.534000,0.056000,0.131000,0.344000,0.124000,0.163000,0.041000,0.070000,0.012000,0.026000,0.094000,1.060000,0.531000,0.269000,0.164000,0.097000,0.037000,0.096000,0.102000,0.161000,0.131000,0.065000,0.261000,0.735000,1.060000,3.189000,0.241000,0.018000,0.061000,0.013000,0.045000,0.001000,0.340000,0.035000,0.000000,0.010000,0.300000,0.000000,0.000000,1092.609000,77.987000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13018.625000,0.000000,0.000000,0.000000,6290.899000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-115678.929000
8,0.000000,508.206000,0.000000,0.716000,0.000000,0.000000,53.018000,3108.726000,46.772000,58.845000,18.712000,7477.621000,0.000000,0.000000,0.000000,31.275000,164.507000,76.475000,79.547000,92.936000,100.714000,18.296000,55.751000,67.039000,80.281000,14.697000,35.907000,0.482000,1.329000,1.213000,1.629000,610.385000,75.727000,0.000000,1379.301000,175.502000,28.927000,5.145000,5.692000,1.479000,3.450000,3.942000,41.578000,17.320000,96.067000,384.975000,570.603000,474.295000,2132.984000,19.463000,110.028000,56.391000,70.392000,1.055000,0.395000,1.806000,0.424000,0.395000,0.419000,1.240000,1.512000,1.089000,1.570000,1.194000,0.775000,0.705000,0.582000,0.774000,1.971000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.407000,0.026000,1.037000,2.812000,4.433000,0.924000,8.023000,2.531000,0.535000,1.873000,0.385000,2.167000,1.787000,0.428000,0.000000,0.000000,8.484000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.034000,0.396000,0.000000,0.000000,0.575000,0.047000,0.533000,0.521000,0.512000,0.000000,0.000000,0.511000,0.624000,0.000000,0.522000,1.411000,0.077000,0.075000,0.077000,0.000000,0.515000,0.507000,11.517000,0.000000,0.516000,0.000000,66.830000,0.483000,0.503000,28.637000,0.464000,0.681000,0.035000,0.469000,0.452000,0.000000,0.491000,0.455000,1.262000,10.064000,3.540000,0.529000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.467000,6.432000,2.093000,1.337000,0.619000,0.000000,0.738000,0.000000,0.000000,0.999000,0.496000,1.852000,5.772000,13.159000,309.149000,1.927000,0.374000,0.632000,0.379000,0.372000,0.006000,2.998000,0.358000,0.000000,0.380000,4.188000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,683.241000,0.000000,3404.277000,0.000000,0.000000,0.000000,1645.025000,0.000000,0.000000,0.000000,0.000000,746.578000,0.000000,0.000000,0.000000,0.000000,0.000000,6893.667000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1319.360000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.266000,1820.184000,0.000000,185.450000,0.000000,72.478000,0.000000,35.616000,0.000000,0.000000,34.027000,10.027000,5.274000,204.386000,4097.372000,101.820000,458.643000,3719.978000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,355.584000,0.000000,95.838000,58.853000,65.986000,0.000000,0.000000,0.000000,38.542000,0.000000,0.000000,0.009000,1.768000,1.266000,0.000000,0.000000,0.000000,0.000000,0.000000,72.886000,9.039000,0.000000,0.000000,33.088000,23.206000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.626000,100.899000,5.758000,0.598000,0.000000,0.000000,2.396000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.935000,0.000000,20.412000,14.567000,23.791000,103.517000,0.000000,26.453000,24.494000,195.655000,0.000000,0.000000,0.000000,0.000000,2.107000,0.115000,0.112000,0.114000,0.000000,0.000000,0.000000,268.676000,0.000000,0.000000,0.000000,240.257000,0.000000,0.000000,2.105000,0.000000,0.000000,0.000000,0.000000,0.000000,224.746000,282.483000,0.000000,44.307000,0.000000,0.000000,344.736000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.150000,29.667000,0.000000,0.000000,0.000000,366.547000,11.378000,14.973000,1.300000,0.000000,3.550000,0.000000,682.485000,72.004000,21.376000,7.807000,89.606000,36.299000,0.000000,444.258000,0.081000,0.000000,19.733000,0.000000,109.105000,52.813000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.317000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7585.398000
10,1174.289000,116.051000,0.000000,0.000000,0.000000,0.294000,0.000000,341.976000,5.815000,654.773000,33.207000,156.962000,0.362000,101.567000,16406.021000,78.923000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,177.169000,0.000000,0.000000,574.860000,429.735000,0.000000,852.847000,0.000000,183.830000,7.500000,34.015000,0.000000,0.000000,294.681000,342.077000,3665.506000,1511.695000,26.028000,0.000000,0.000000,0.000000,106.734000,0.000000,0.605000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.973000,0.000000,0.239000,0.000000,1.019000,4.553000,0.000000,0.000000,0.000000,0.861000,0.000000,0.179000,0.000000,0.000000,0.000000,6.307000,0.000000,0.000000,0.000000,0.000000,0.000000,41.409000,0.000000,0.000000,0.000000,11.132000,0.000000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,0.000000,0.001000,0.000000,124.980000,0.489000,4.150000,1.028000,0.000000,2.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.348000,9.479000,34.431000,0.271000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,12.156000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,206.109000,0.000000,0.000000,0.000000,126.207000,0.000000,0.446000,3.509000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.377000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.331000,0.000000,0.000000,0.000000,0.000000,0.000000,0.635000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.003000,0.000000,47.292000,0.000000,0.000000,0.000000,22.853000,0.000000,0.000000,0.000000,0.000000,910.867000,6.569000,0.000000,0.000000,0.000000,0.000000,-900.854000
